(38, 43.673441, 0.10204075000000046)
(44, 43.67769269791667, 0.10204075000000046)
(46, 43.8775225, 0.10204075000000046)
(27, 44.081604, 0.10204075000000046)
(44, 44.083729848958335, 0.10204075000000046)
(46, 44.2856855, 0.10204075000000046)
(27, 44.489767, 0.10204075000000046)
(38, 44.489767, 0.10204075000000046)
(44, 44.489767, 0.10629244791666537)
(46, 44.6938485, 0.10204075000000046)
(27, 44.89793, 0.10204075000000046)
(44, 44.90218169791667, 0.10204075000000046)
(46, 45.1020115, 0.10204074999999335)
(27, 45.306093, 0.10204075000000046)
(38, 45.306093, 0.10204075000000046)
(44, 45.31034469791667, 0.10204075000000046)
(46, 45.5101745, 0.10204075000000046)
(27, 45.714256, 0.10204075000000046)
(44, 45.716381848958335, 0.10204075000000046)
(46, 45.9183375, 0.10204075000000046)
(27, 46.122419, 0.10204075000000046)
(38, 46.122419, 0.10204075000000046)
(44, 46.122419, 0.10629244791666537)
(46, 46.3265005, 0.10204075000000046)
(27, 46.530582, 0.10204075000000046)
(44, 46.53483369791667, 0.10204075000000046)
(46, 46.734663499999996, 0.10204075000000046)
(27, 46.938745, 0.10204075000000046)
(38, 46.938745, 0.10204075000000046)
(44, 46.94299669791667, 0.10204075000000046)
(46, 47.1428265, 0.10204075000000046)
(38, 47.24486725, 0.10204075000000046)
(27, 47.346908, 0.10204075000000046)
(44, 47.349033848958335, 0.10204075000000046)
(27, 47.755071, 0.10204075000000046)
(27, 48.163234, 0.10204075000000046)
(27, 48.571397, 0.10204075000000046)
